url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Servicio,Garage,Calefacción,Cocina,Año de Construcción,Jardín,Dormitorios Suite,Piscina,Orientación,Plantas,Parrillero,Acepta Mascotas,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Seguridad,Altura,Aptos por piso,Patio,Muebles,Propiedad Horizontal,Gastos Comúnes,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/158792-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 890.000Venta,4,6,1814 m²,300m²,1814m²,Dormitorios de Servicio: 1,Garaje: 4,,Cocina Definida,1960,Jardín,Dormitorios en Suite: 2,,,,,Acepta Mascotas,,,,,,3m,1,,,,,,
https://www.casasymas.com.uy/propiedad/196086-casa-en-venta-de-4-dormitorios-en-malvin-montevideo,U$S 800.000Venta,4,2,2220 m²,236m²,,,Cochera: 3,,Cocina Definida,,Jardín,,Piscina,,1,Parrillero,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/201786-vendo-gran-casa-de-3-dormitorios-en-punta-carretas,U$S 995.000Venta,3,3,308 m²,,350m²,Dormitorios de Servicio: 1,Garaje: 3,,,,,,,Norte,3,,,,Frente,3,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/230140-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,U$S 154.000Venta,2,1,67 m²,60m²,37m²,,Garaje: 0,,,,,,,Norte,2,,,,,2,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/164717-venta-de-casa-barrio-palermo-a-reciclar-con-mas-de-5-ambientes,U$S 139.000Venta,3,1,105 m²,105m²,105m²,,,,Cocina Definida,1929,,,,,,,,,Frente,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/142144-casa-en-venta-de-3-dormitorios-en-colon-montevideo,U$S 160.000Venta,3,1,515 m²,146m²,,,Cochera: 3,,Cocina Definida,1960,Jardín,,,Norte,1,Parrillero,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/162080-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 458.000Venta,3,3,293 m²,150m²,293m²,,,,Cocina Definida,2006,,Dormitorios en Suite: 1,Piscina,,,,,,Frente,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/225738-casa-en-venta-de-2-dormitorios-en-palermo-montevideo,U$S 205.000Venta,2,2,146 m²,146m²,146m²,,,,Cocina Definida,1921,,Dormitorios en Suite: 1,,,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/151084-casa-en-venta-de-3-dormitorios-con-garage-en-malvin-montevideo,U$S 259.000Venta,3,2,105 m²,90m²,,,Cochera: 1,,Cocina Integrada,2025,Jardín,,,Oeste,2,Parrillero,Acepta Mascotas,,,,,,,,,,Propiedad Horizontal,,,
https://www.casasymas.com.uy/propiedad/129840-casa-en-venta-de-5-dormitorios-en-carrasco-montevideo,U$S 2.300.000Venta,5,6,,575m²,2696m²,Dormitorios de Servicio: 1,Garaje: 0,Calefacción a gas,,1960,Jardín,Dormitorios en Suite: 3,Piscina,Norte,2,Parrillero,Acepta Mascotas,,,,,Alarma y Cámaras,,,,,,,,
https://www.casasymas.com.uy/propiedad/213121-casa-en-venta-de-3-dormitorios-en-prado-montevideo,U$S 265.000Venta,3,2,170 m²,160m²,10m²,,Garaje: 2,,Cocina Definida,1955,,,,Este,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/146765-casa-en-venta-de-6-dormitorios-en-punta-gorda-montevideo,U$S 645.000Venta,6,4,270 m²,270m²,510m²,,Garaje: 3,,,,,,Piscina,Norte,2,,,,Frente,2,,,,,,,,,,
