url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Muebles,Orientación,Plantas,Año de Construcción,Seguridad,Jardín,Acepta Mascotas,Dormitorios Servicio,Piscina,Cocina,Popiedad Horizontal,Gastos Comúnes,Patio,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Altura,Aptos por piso,Ascensor,Piso
https://www.casasymas.com.uy/propiedad/111111-casa-en-venta-de-4-dormitorios-en-parque-batlle-montevideo,U$S 1.090.000Venta,4,3,606 m²,463m²,606m²,Dormitorios en Suite: 2,Garaje: 2,Parrillero,,,Este,2,1948,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/184718-venta-casa-de-diseno-amoblada-en-punta-carretas-4106,U$S 785.000Venta,3,3,316 m²,173m²,316m²,,,,,,,,1,,Jardín,,,,,,,,316m²,,,,,,,
https://www.casasymas.com.uy/propiedad/114324-casa-en-venta-de-6-dormitorios-en-playa-grande-maldonado,U$S 2.000.000Venta,6,5,25369 m²,750m²,25369m²,,,,,Muebles,,,1,,,,,Piscina,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/163490-casa-de-tres-dormitorios-en-venta-en-pocitos-planta-baja,U$S 195.000Venta,3,1,90 m²,90m²,,,Garaje: 0,,,,Norte,1,,,,,,,,,,,10m²,Frente,1,,,,,
https://www.casasymas.com.uy/propiedad/194493-casa-en-venta-de-2-dormitorios-con-garage-en-ciudad-de-la-costa-canelones,U$S 185.000Venta,2,1,65 m²,65m²,,,Garaje: 1,,,,Norte,,2025,,,Acepta Mascotas,,,Cocina Definida,,,Patio,,,,,,,,
https://www.casasymas.com.uy/propiedad/124805-casa-en-venta-de-5-dormitorios-con-garage-en-laguna-del-diario-maldonado,U$S 570.000Venta,5,3,2420 m²,,2420m²,Dormitorios en Suite: 1,Garaje: 1,,,Muebles,Norte,,1,,,,,Piscina,Cocina Definida,,,,,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/103154-casa-en-alquiler-y-venta-de-3-dormitorios-en-vinedos-de-la-tahona-canelones,U$S 600.000Venta,3,3,305 m²,305m²,1165m²,Dormitorios en Suite: 2,Garaje: 2,Parrillero,Losa radiante hidraulica a gas con bombona,,,1,,,Jardín,,Dormitorios de Servicio: 1,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/74195-casa-en-venta-de-3-dormitorios-en-punta-carretas-montevideo,U$S 439.000Venta,3,3,338 m²,338m²,235m²,,Garaje: 0,,,,Oeste,2,,,,,,,,,,,,,2,,,,,
https://www.casasymas.com.uy/propiedad/148591-casa-en-alquiler-y-venta-de-3-dormitorios-en-el-pinar-canelones,U$S 450.000Venta,3,2,980 m²,260m²,980m²,Dormitorios en Suite: 1,,Parrillero,Estufa leña,,,,,,,,,Piscina,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/145158-casa-en-venta-de-2-dormitorios-en-camino-maldonado-montevideo,U$S 92.000Venta,2,1,500 m²,93m²,,,Cochera: 3,Parrillero,,,Sur,,1970,,,Acepta Mascotas,,,Cocina Definida,Popiedad Horizontal,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/170672-casa-en-venta-de-6-dormitorios-en-punta-colorada-maldonado,U$S 1.300.000Venta,6,8,6250 m²,713m²,6250m²,,,,,,,,2020,,,,Dormitorios de Servicio: 1,Piscina,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183940-casa-en-venta-de-3-dormitorios-con-garage-en-prado-montevideo,U$S 325.000Venta,3,2,120 m²,97m²,23m²,,Garaje: 1,,,,Oeste,,2000,,Jardín,Acepta Mascotas,,,Cocina Definida,,UYU 12000,Patio,,,,,,,,
https://www.casasymas.com.uy/propiedad/128998-casa-en-venta-de-3-dormitorios-en-centro-maldonado,U$S 125.000Venta,3,2,,,,,,,,,,,,,,,,,Cocina Definida,,,,,,,,,,,
